id,Client Sent,Server Recived,Model runtime,Server sent,Client Recived
57,2024-05-17 13:56:21.141548,2024-05-17 13:56:21.142408,0.03134441375732422,2024-05-17 13:56:21.180063,2024-05-17 13:56:21.142225
58,2024-05-17 13:56:21.261189,2024-05-17 13:56:21.262069,0.03065967559814453,2024-05-17 13:56:21.298841,2024-05-17 13:56:21.261810
59,2024-05-17 13:56:21.341716,2024-05-17 13:56:21.342462,0.03094768524169922,2024-05-17 13:56:21.379641,2024-05-17 13:56:21.342377
60,2024-05-17 13:56:21.421714,2024-05-17 13:56:21.422409,0.031009912490844727,2024-05-17 13:56:21.459906,2024-05-17 13:56:21.422285
61,2024-05-17 13:56:21.502665,2024-05-17 13:56:21.503308,0.03124380111694336,2024-05-17 13:56:21.541062,2024-05-17 13:56:21.503184
62,2024-05-17 13:56:21.622096,2024-05-17 13:56:21.623030,0.032788991928100586,2024-05-17 13:56:21.662397,2024-05-17 13:56:21.622767
63,2024-05-17 13:56:21.821712,2024-05-17 13:56:21.822558,0.033387184143066406,2024-05-17 13:56:21.862350,2024-05-17 13:56:21.822249
64,2024-05-17 13:56:21.876921,2024-05-17 13:56:21.877455,0.032305240631103516,2024-05-17 13:56:21.916715,2024-05-17 13:56:21.877253
65,2024-05-17 13:56:22.101298,2024-05-17 13:56:22.102088,0.03252363204956055,2024-05-17 13:56:22.140881,2024-05-17 13:56:22.101837
66,2024-05-17 13:56:22.181351,2024-05-17 13:56:22.182129,0.03050684928894043,2024-05-17 13:56:22.218777,2024-05-17 13:56:22.181933
67,2024-05-17 13:56:22.301443,2024-05-17 13:56:22.302076,0.03193473815917969,2024-05-17 13:56:22.340094,2024-05-17 13:56:22.301943
68,2024-05-17 13:56:22.381775,2024-05-17 13:56:22.382534,0.03139853477478027,2024-05-17 13:56:22.420010,2024-05-17 13:56:22.382372
69,2024-05-17 13:56:22.541990,2024-05-17 13:56:22.542621,0.03207278251647949,2024-05-17 13:56:22.581349,2024-05-17 13:56:22.542428
70,2024-05-17 13:56:22.701699,2024-05-17 13:56:22.702442,0.031771183013916016,2024-05-17 13:56:22.740744,2024-05-17 13:56:22.702143
71,2024-05-17 13:56:22.981367,2024-05-17 13:56:22.982152,0.03234124183654785,2024-05-17 13:56:23.020524,2024-05-17 13:56:22.981889
72,2024-05-17 13:56:23.147034,2024-05-17 13:56:23.147868,0.034934043884277344,2024-05-17 13:56:23.188848,2024-05-17 13:56:23.147607
73,2024-05-17 13:56:23.202154,2024-05-17 13:56:23.202834,0.031707048416137695,2024-05-17 13:56:23.240965,2024-05-17 13:56:23.202584
74,2024-05-17 13:56:23.301380,2024-05-17 13:56:23.302123,0.033365488052368164,2024-05-17 13:56:23.341581,2024-05-17 13:56:23.301887
75,2024-05-17 13:56:23.353926,2024-05-17 13:56:23.354587,0.0315554141998291,2024-05-17 13:56:23.392480,2024-05-17 13:56:23.354407
76,2024-05-17 13:56:23.501106,2024-05-17 13:56:23.501880,0.03374481201171875,2024-05-17 13:56:23.541736,2024-05-17 13:56:23.501667
77,2024-05-17 13:56:23.555355,2024-05-17 13:56:23.556010,0.031008243560791016,2024-05-17 13:56:23.593327,2024-05-17 13:56:23.555832
78,2024-05-17 13:56:23.706784,2024-05-17 13:56:23.707546,0.033611297607421875,2024-05-17 13:56:23.747205,2024-05-17 13:56:23.707298
79,2024-05-17 13:56:23.760830,2024-05-17 13:56:23.761413,0.03379654884338379,2024-05-17 13:56:23.801402,2024-05-17 13:56:23.761181
80,2024-05-17 13:56:23.821323,2024-05-17 13:56:23.822113,0.03360724449157715,2024-05-17 13:56:23.861782,2024-05-17 13:56:23.821796
81,2024-05-17 13:56:23.874845,2024-05-17 13:56:23.875717,0.031223297119140625,2024-05-17 13:56:23.913124,2024-05-17 13:56:23.875404
1,2024-05-17 14:41:49.049452,2024-05-17 14:41:53.749420,1.6279637813568115,2024-05-17 14:41:55.404196,2024-05-17 14:41:49.050312
2,2024-05-17 14:41:56.251780,2024-05-17 14:41:59.872376,0.2050468921661377,2024-05-17 14:42:00.091147,2024-05-17 14:41:56.252393
3,2024-05-17 14:42:00.318014,2024-05-17 14:42:03.992645,0.18268656730651855,2024-05-17 14:42:04.189177,2024-05-17 14:42:00.318575
4,2024-05-17 14:42:04.519961,2024-05-17 14:42:08.071300,0.20801901817321777,2024-05-17 14:42:08.293317,2024-05-17 14:42:04.520579
5,2024-05-17 14:42:08.513276,2024-05-17 14:42:12.019174,0.18251657485961914,2024-05-17 14:42:12.214254,2024-05-17 14:42:08.514007
6,2024-05-17 14:42:12.438254,2024-05-17 14:42:15.627550,0.19085359573364258,2024-05-17 14:42:15.833056,2024-05-17 14:42:12.439130
7,2024-05-17 14:42:16.069496,2024-05-17 14:42:18.286969,0.1889934539794922,2024-05-17 14:42:18.488339,2024-05-17 14:42:16.069914
8,2024-05-17 14:42:18.718206,2024-05-17 14:42:20.922765,0.18129372596740723,2024-05-17 14:42:21.115561,2024-05-17 14:42:18.718896
9,2024-05-17 14:42:21.408493,2024-05-17 14:42:23.786643,0.19283366203308105,2024-05-17 14:42:23.991326,2024-05-17 14:42:21.409186
10,2024-05-17 14:42:24.221259,2024-05-17 14:42:26.922028,0.1795821189880371,2024-05-17 14:42:27.118308,2024-05-17 14:42:24.221876
11,2024-05-17 14:42:28.723676,2024-05-17 14:42:31.905967,0.1923692226409912,2024-05-17 14:42:32.113841,2024-05-17 14:42:28.724230
12,2024-05-17 14:42:34.001940,2024-05-17 14:42:37.133871,0.19539809226989746,2024-05-17 14:42:37.342352,2024-05-17 14:42:34.002558
13,2024-05-17 14:42:37.676047,2024-05-17 14:42:41.088953,0.18178224563598633,2024-05-17 14:42:41.283233,2024-05-17 14:42:37.676888
14,2024-05-17 14:42:42.814693,2024-05-17 14:42:46.228030,0.18770051002502441,2024-05-17 14:42:46.428110,2024-05-17 14:42:42.815126
15,2024-05-17 14:42:46.709163,2024-05-17 14:42:50.563691,0.17545509338378906,2024-05-17 14:42:50.755955,2024-05-17 14:42:46.709996
16,2024-05-17 14:42:50.985272,2024-05-17 14:42:54.326110,0.18448138236999512,2024-05-17 14:42:54.525057,2024-05-17 14:42:50.985765
17,2024-05-17 14:42:54.776563,2024-05-17 14:42:58.054491,0.20757174491882324,2024-05-17 14:42:58.275413,2024-05-17 14:42:54.777070
18,2024-05-17 14:42:58.565912,2024-05-17 14:43:01.834863,0.1947617530822754,2024-05-17 14:43:02.041981,2024-05-17 14:42:58.566409
19,2024-05-17 14:43:02.291505,2024-05-17 14:43:05.832220,0.18305063247680664,2024-05-17 14:43:06.027676,2024-05-17 14:43:02.292027
20,2024-05-17 14:43:06.261292,2024-05-17 14:43:09.549032,0.18467211723327637,2024-05-17 14:43:09.747489,2024-05-17 14:43:06.261693
21,2024-05-17 14:43:10.005430,2024-05-17 14:43:13.282425,0.19390320777893066,2024-05-17 14:43:13.493272,2024-05-17 14:43:10.005993
22,2024-05-17 14:43:14.030299,2024-05-17 14:43:17.286312,0.17578959465026855,2024-05-17 14:43:17.475016,2024-05-17 14:43:14.030794
23,2024-05-17 14:43:17.802711,2024-05-17 14:43:21.087204,0.17970609664916992,2024-05-17 14:43:21.279226,2024-05-17 14:43:17.803361
24,2024-05-17 14:43:22.863909,2024-05-17 14:43:26.143794,0.19368410110473633,2024-05-17 14:43:26.349857,2024-05-17 14:43:22.864440
25,2024-05-17 14:43:26.592550,2024-05-17 14:43:30.022363,0.2024374008178711,2024-05-17 14:43:30.238165,2024-05-17 14:43:26.593036
26,2024-05-17 14:43:30.450387,2024-05-17 14:43:33.787033,0.19091486930847168,2024-05-17 14:43:33.990729,2024-05-17 14:43:30.450941
27,2024-05-17 14:43:34.220285,2024-05-17 14:43:37.558715,0.18297719955444336,2024-05-17 14:43:37.756795,2024-05-17 14:43:34.220746
28,2024-05-17 14:43:38.004007,2024-05-17 14:43:41.290428,0.18147516250610352,2024-05-17 14:43:41.485083,2024-05-17 14:43:38.004491
29,2024-05-17 14:43:41.776676,2024-05-17 14:43:45.078662,0.19202399253845215,2024-05-17 14:43:45.287499,2024-05-17 14:43:41.777005
30,2024-05-17 14:43:45.503412,2024-05-17 14:43:48.758123,0.18239903450012207,2024-05-17 14:43:48.952803,2024-05-17 14:43:45.503900
31,2024-05-17 14:43:49.205494,2024-05-17 14:43:52.514118,0.18543124198913574,2024-05-17 14:43:52.716695,2024-05-17 14:43:49.205998
32,2024-05-17 14:43:52.924613,2024-05-17 14:43:56.394479,0.19084763526916504,2024-05-17 14:43:56.600965,2024-05-17 14:43:52.924977
33,2024-05-17 14:43:56.804419,2024-05-17 14:44:00.123011,0.22185921669006348,2024-05-17 14:44:00.357609,2024-05-17 14:43:56.804975
34,2024-05-17 14:44:00.862127,2024-05-17 14:44:04.046659,0.1832740306854248,2024-05-17 14:44:04.245189,2024-05-17 14:44:00.862634
35,2024-05-17 14:44:04.533286,2024-05-17 14:44:07.723505,0.19530487060546875,2024-05-17 14:44:07.931416,2024-05-17 14:44:04.533801
36,2024-05-17 14:44:09.458043,2024-05-17 14:44:12.946481,0.1909618377685547,2024-05-17 14:44:13.149915,2024-05-17 14:44:09.458519
37,2024-05-17 14:44:13.381448,2024-05-17 14:44:16.596093,0.18620586395263672,2024-05-17 14:44:16.795520,2024-05-17 14:44:13.381964
38,2024-05-17 14:44:17.636770,2024-05-17 14:44:20.880074,0.17206931114196777,2024-05-17 14:44:21.065299,2024-05-17 14:44:17.637259
39,2024-05-17 14:44:21.307048,2024-05-17 14:44:24.501414,0.19377398490905762,2024-05-17 14:44:24.708468,2024-05-17 14:44:21.307556
40,2024-05-17 14:44:24.941952,2024-05-17 14:44:28.147088,0.18713784217834473,2024-05-17 14:44:28.348276,2024-05-17 14:44:24.942461
41,2024-05-17 14:44:28.831244,2024-05-17 14:44:32.206997,0.17801880836486816,2024-05-17 14:44:32.397405,2024-05-17 14:44:28.831707
